Category,Label,Originated_By,Source,Text
indian news,1,the hindu,the hindu,top kerala news development today key news development kerala monday march 14 2022
politics war economy health etc ,0,congressional leadership fund,poltifact,hoadley call woman breeder want learn crystal meth write sexual partner victim hoadley even write four year old wear thong
politics war economy health etc ,0,ted piccolo,poltifact,say three five republican ben westlund rob patridge max williams lane shetterly lynn lundquist later become democrat
politics war economy health etc ,1,patriot majority usa,poltifact,north carolina republican senate candidate thom tillis would let insurance company deny coverage pre exist condition
indian news,1,the hindu,the hindu,inl faction hold separate meeting decide form state committee march end
indian news,1,the hindu,the hindu,top kerala news development today key news development kerala march 21 monday
indian news,1,the hindu,the hindu,hs principal teach hour rearrange thiruvananthapuram
politics war economy health etc ,1,bing west,poltifact,seventy five percent young adult country mentally physically fit serve
indian news,1,the hindu,the hindu,state prepares forest rejuvenation action plan cover block chief secretary chair 8th steer committee meeting campa
politics war economy health etc ,1,rhode island senate,poltifact,new england patriot lead explosive offense score second point nfl
politics war economy health etc ,0,facebook posts,poltifact,go 2020census gov fill census form get stimulus check
politics war economy health etc ,0,sergio marchionne,poltifact,less two year ago make commitment repay taxpayer full today make good promise
politics war economy health etc ,0,facebook posts,poltifact,year ago low unemployment history without use taxpayer money
politics war economy health etc ,0,tom kean,poltifact,built last nuclear plant state country
politics war economy health etc ,0,mary burke,poltifact,six conviction connect allegation prosecutor gov scott walker center criminal scheme
politics war economy health etc ,0,marco rubio,poltifact,charlie crist prominent republican country campaign barack obama stimulus pass behalf stimulus
asian news,1,bbc,bbc,navratilova blast peng shuai shirt ban australian open organiser ask spectator remove shirt mention chinese player
politics war economy health etc ,0,facebook posts,poltifact,nike lil na launch demonic shoe contain human blood
politics war economy health etc ,0,bill nelson,poltifact,budget deal struck 2011 trillion dollar cut go effect immediately special committee set get agreement another trillion cut
politics war economy health etc ,0,jon kyl,poltifact,senate version economic stimulus package include million dollar world war ii filipino veteran philippine
indian news,1,the hindu,the hindu,centre launch 19 000 cr river afforestation plan would help recharge groundwater generate 449 cr provide employment 344 million man day
technology news,1,bbc,bbc,fourth man held app auction muslim woman police suspect 20 year old creator app target muslim woman
politics war economy health etc ,0,viral image,poltifact,lawyer couple point gun protester black life matter backer democrat represent police brutality victim
politics war economy health etc ,1,progress ohio,poltifact,legal ohio fire employee evict tenant gay
politics war economy health etc ,0,scott walker,poltifact,say tony evers want cut wisconsin prison population half dangerous plan today would mean release thousand violent criminal back community
politics war economy health etc ,1,mark warner,poltifact,average time someone use hold share stock back 60 eight year average time four month
politics war economy health etc ,0,viral image,poltifact,say coronavirus new lysol list one virus kill
politics war economy health etc ,1,mark warner,poltifact,right spending time high close 25 percent gdp spent federal government revenue almost time low 15 percent gdp
climate news,1,bbc,bbc,unite climate change ukraine scientist lead climate expert say ukraine invasion closing window opportunity curb global warm
politics war economy health etc ,0,russ fulcher,poltifact,idaho republican lead state nation chose partner president obama create state base marketplace affordable care act
politics war economy health etc ,0,joseph kyrillos,poltifact,say robert menendez king raise money wall street million dollar one leader united state senate raise wall street money
politics war economy health etc ,0,americans for job security,poltifact,say zack space vote budget debt energy tax stimulus still lose million job
politics war economy health etc ,0,facebook posts,poltifact,615 project coal power plant country usa 15 building
politics war economy health etc ,0,beto o rourke,poltifact,60 million american live place water drink unsafe
politics war economy health etc ,0,nydailynews tv com,poltifact,comedian kevin hart critical condition gory car crash
indian fake news,0,times of india,times of india,fake alert japanese nobel prize winner claim coronavirus manufacture china
politics war economy health etc ,0,kevin nicholson,poltifact,say leah vukmir say endorse donald trump
politics war economy health etc ,0,bernie sanders,poltifact,top percent recent year earn 85 percent new income
politics war economy health etc ,0,gwen moore,poltifact,say scott walker brag lot independent agency investigate police shooting course fund
politics war economy health etc ,0,viral image,poltifact,photo show donald trump jr eric trump
politics war economy health etc ,0,facebook posts,poltifact,biden democrat want cap insulin price 35 per month 50 republican senate oppose
politics war economy health etc ,0,chain email,poltifact,obama wife write paper college say america nation found crime hatred white america ineradicably racist
technology news,1,bbc,bbc,boeing airbus warn u 5g safety concern world two big plane maker say technology could negative impact aviation industry
business news,1,bbc,bbc,housebuilder scrap leasehold ground rent rise business reporter bbc news
politics war economy health etc ,0,dan gelber,poltifact,receive contribution candidate race republican democrat
indian fake news,0,times of india,times of india,fake alert old video rahul gandhi dargah visit use suggest muslim
